row_id,num_sold
70128,418
70129,345
70130,277
70131,446
70132,126
70133,101
70134,82
70135,135
70136,417
70137,345
70138,277
70139,445
70140,128
70141,103
70142,83
70143,136
70144,417
70145,342
70146,279
70147,446
70148,125
70149,101
70150,82
70151,133
70152,420
70153,345
70154,281
70155,448
70156,128
70157,102
70158,83
70159,135
70160,418
70161,343
70162,279
70163,446
70164,126
70165,102
70166,82
70167,134
70168,417
70169,342
70170,277
70171,446
70172,125
70173,99
70174,80
70175,134
70176,408
70177,326
70178,261
70179,411
70180,134
70181,104
70182,75
70183,141
70184,406
70185,325
70186,257
70187,410
70188,132
70189,102
70190,73
70191,143
70192,400
70193,321
70194,257
70195,409
70196,127
70197,102
70198,74
70199,141
70200,404
70201,324
70202,257
70203,408
70204,130
70205,101
70206,72
70207,140
70208,404
70209,322
70210,255
70211,407
70212,131
70213,101
70214,70
70215,140
70216,406
70217,324
70218,260
70219,410
70220,131
70221,101
70222,74
70223,141
70224,425
70225,343
70226,275
70227,429
70228,139
70229,110
70230,81
70231,147
70232,422
70233,342
70234,272
70235,428
70236,137
70237,107
70238,78
70239,149
70240,416
70241,338
70242,271
70243,427
70244,133
70245,108
70246,78
70247,147
70248,420
70249,341
70250,272
70251,426
70252,136
70253,107
70254,79
70255,146
70256,420
70257,339
70258,271
70259,426
70260,137
70261,107
70262,75
70263,146
70264,422
70265,341
70266,274
70267,429
70268,137
70269,107
70270,81
70271,147
70272,366
70273,286
70274,224
70275,356
70276,118
70277,91
70278,58
70279,120
70280,363
70281,284
70282,220
70283,356
70284,115
70285,89
70286,57
70287,119
70288,359
70289,283
70290,221
70291,354
70292,112
70293,88
70294,58
70295,117
70296,363
70297,285
70298,220
70299,353
70300,114
70301,88
70302,56
70303,114
70304,362
70305,282
70306,219
70307,352
70308,115
70309,88
70310,54
70311,115
70312,364
70313,284
70314,223
70315,356
70316,115
70317,89
70318,58
70319,119
70320,366
70321,286
70322,224
70323,356
70324,118
70325,91
70326,58
70327,120
70328,363
70329,284
70330,220
70331,356
70332,115
70333,89
70334,57
70335,119
70336,359
70337,283
70338,221
70339,354
70340,112
70341,88
70342,58
70343,117
70344,363
70345,285
70346,220
70347,353
70348,114
70349,88
70350,56
70351,114
70352,362
70353,282
70354,219
70355,352
70356,115
70357,88
70358,54
70359,115
70360,364
70361,284
70362,223
70363,356
70364,115
70365,89
70366,58
70367,119
70368,366
70369,286
70370,224
70371,356
70372,118
70373,91
70374,58
70375,120
70376,363
70377,284
70378,220
70379,356
70380,115
70381,89
70382,57
70383,119
70384,359
70385,283
70386,221
70387,354
70388,112
70389,88
70390,58
70391,117
70392,363
70393,285
70394,220
70395,353
70396,114
70397,88
70398,56
70399,114
70400,362
70401,282
70402,219
70403,352
70404,115
70405,88
70406,54
70407,115
70408,364
70409,284
70410,223
70411,356
70412,115
70413,89
70414,58
70415,119
70416,366
70417,286
70418,224
70419,356
70420,118
70421,91
70422,58
70423,120
70424,363
70425,284
70426,220
70427,356
70428,115
70429,89
70430,57
70431,119
70432,359
70433,283
70434,221
70435,354
70436,112
70437,88
70438,58
70439,117
70440,363
70441,285
70442,220
70443,353
70444,114
70445,88
70446,56
70447,114
70448,362
70449,282
70450,219
70451,352
70452,115
70453,88
70454,54
70455,115
70456,364
70457,284
70458,223
70459,356
70460,115
70461,89
70462,58
70463,119
70464,366
70465,286
70466,224
70467,356
70468,118
70469,91
70470,58
70471,120
70472,363
70473,284
70474,220
70475,356
70476,115
70477,89
70478,57
70479,119
70480,359
70481,283
70482,221
70483,354
70484,112
70485,88
70486,58
70487,117
70488,363
70489,285
70490,220
70491,353
70492,114
70493,88
70494,56
70495,114
70496,362
70497,282
70498,219
70499,352
70500,115
70501,88
70502,54
70503,115
70504,364
70505,284
70506,223
70507,356
70508,115
70509,89
70510,58
70511,119
70512,408
70513,326
70514,261
70515,411
70516,134
70517,104
70518,75
70519,141
70520,406
70521,325
70522,257
70523,410
70524,132
70525,102
70526,73
70527,143
70528,400
70529,321
70530,257
70531,409
70532,127
70533,102
70534,74
70535,141
70536,404
70537,324
70538,257
70539,408
70540,130
70541,101
70542,72
70543,140
70544,404
70545,322
70546,255
70547,407
70548,131
70549,101
70550,70
70551,140
70552,406
70553,324
70554,260
70555,410
70556,131
70557,101
70558,74
70559,141
70560,425
70561,343
70562,275
70563,429
70564,139
70565,110
70566,81
70567,147
70568,422
70569,342
70570,272
70571,428
70572,137
70573,107
70574,78
70575,149
70576,416
70577,338
70578,271
70579,427
70580,133
70581,108
70582,78
70583,147
70584,420
70585,341
70586,272
70587,426
70588,136
70589,107
70590,79
70591,146
70592,420
70593,339
70594,271
70595,426
70596,137
70597,107
70598,75
70599,146
70600,422
70601,341
70602,274
70603,429
70604,137
70605,107
70606,81
70607,147
70608,366
70609,286
70610,224
70611,356
70612,118
70613,91
70614,58
70615,120
70616,363
70617,284
70618,220
70619,356
70620,115
70621,89
70622,57
70623,119
70624,359
70625,283
70626,221
70627,354
70628,112
70629,88
70630,58
70631,117
70632,363
70633,285
70634,220
70635,353
70636,114
70637,88
70638,56
70639,114
70640,362
70641,282
70642,219
70643,352
70644,115
70645,88
70646,54
70647,115
70648,364
70649,284
70650,223
